title,genre,lead_actor,year,tag
Colours of Fire,"Fantasy, Drama","Gabriel Afolayan, Genoveva Umeh",2026,mythological epic
The Herd,"Drama, Thriller","Genoveva Umeh, Linda Ejiofor",2026,rural thriller
Behind the Scenes,"Comedy, Drama","Uzor Arukwe, Scarlet Gomez",2026,satirical drama
Gingerrr,Comedy,"Lateef Adedimeji, Bisola Aiyeola",2026,urban comedy
Oversabi Aunty,Comedy,"Mike Ezuruonye, Olamide Kidbaby",2026,slapstick comedy
Red Circle Pall,"Thriller, Action","Lateef Adedimeji, Femi Branch",2026,vengeance thriller
Owambe Thieves,"Comedy, Crime","Femi Branch, Charles Inojie",2026,heist comedy
The Yard,Drama,"Similoluwa Hassan, James Kalu",2026,community drama
The Covenant,Drama,"Sola Sobowale, Bimbo Akintola",2026,family drama
Aljana,"Fantasy, Drama","Nadia Dutch, Ali Nuhu",2026,northern folklore
The Lost Days,Drama,"Ifeoma Fafunwa, Wale Ojo",2026,emotional drama
Something About The Briggs,"Comedy, Romance","Ariyike Owolagba, Timini Egbuson",2026,romantic comedy
Her Excellency,Drama,"Sola Sobowale, Richard Mofe-Damijo",2026,political drama
